datetime,open,high,low,close,volume
"13,07,23 04:19",30299.99,30305.13,30296,30305.12,22.77587
"13,07,23 04:04",30283.44,30283.44,30278.59,30278.59,12.7601
"13,07,23 03:49",30288.24,30288.25,30285.77,30285.77,24.47207
"13,07,23 03:34",30283.59,30283.59,30281.13,30281.13,7.29712
"13,07,23 03:19",30339.33,30350.55,30339.33,30342.52,20.08616
"13,07,23 03:04",30324.55,30324.56,30310,30310.01,18.20902
"13,07,23 02:49",30342.83,30342.83,30342.82,30342.82,2.62198
"13,07,23 02:34",30374.69,30374.7,30368.03,30368.03,6.74641
"13,07,23 02:19",30346,30350.61,30345.99,30347.93,15.09147
"13,07,23 02:04",30365.54,30365.54,30363.6,30363.6,9.82919
"13,07,23 01:49",30393.99,30394,30382,30388.43,17.56877
"13,07,23 01:34",30323.09,30323.09,30312.5,30318,12.73065
"13,07,23 01:19",30327.39,30327.4,30326.95,30326.95,3.5279
"13,07,23 01:04",30373.77,30381.96,30373.76,30381.95,8.17497
"13,07,23 00:49",30359,30359,30353.77,30353.78,12.06882
"13,07,23 00:34",30378,30382,30377.99,30382,9.47703
"13,07,23 00:19",30424,30424.01,30418,30418.01,14.36316
"13,07,23 00:04",30386,30388,30385.99,30387.99,7.75812
"12,07,23 23:49",30413.32,30413.33,30408,30408,7.33668
"12,07,23 23:34",30370.97,30372.78,30370.96,30372.77,5.69735
"12,07,23 23:19",30378.01,30379.23,30378,30379.22,9.31017
"12,07,23 23:04",30365.26,30365.27,30365.26,30365.26,1.80058
"12,07,23 22:49",30346.2,30346.21,30337.06,30343.49,14.54002
"12,07,23 22:34",30367.69,30367.7,30367.69,30367.7,4.11452
"12,07,23 22:19",30363.99,30370,30363.99,30365.01,8.57706
"12,07,23 22:04",30353.02,30353.03,30351.04,30351.94,11.98226
"12,07,23 21:49",30342.75,30352.76,30342.75,30352.76,7.9118
"12,07,23 21:34",30334.19,30334.77,30334.19,30334.76,9.95724
"12,07,23 21:19",30350.25,30350.26,30348,30348,7.56712
"12,07,23 21:04",30339.15,30339.15,30331.82,30339.14,23.50506
"12,07,23 20:49",30332.49,30342.52,30332.48,30338.64,24.47505
"12,07,23 20:34",30314.99,30314.99,30303.91,30306.4,10.26302
"12,07,23 20:19",30317.39,30317.4,30303.26,30306.47,43.61589
"12,07,23 20:04",30274.24,30285.02,30270,30282.01,35.41878
"12,07,23 19:49",30303.56,30313.99,30287.76,30288.66,51.36204
"12,07,23 19:34",30293.39,30294,30260,30286,99.4568
"12,07,23 19:19",30467.04,30467.05,30456.26,30456.27,6.66353
"12,07,23 19:04",30496.6,30496.61,30478,30479.33,29.00614
"12,07,23 18:49",30510.01,30510.02,30510.01,30510.02,4.95595
"12,07,23 18:34",30518,30534.84,30515.95,30517.15,28.92088
"12,07,23 18:19",30447.43,30462.66,30447.43,30462.66,20.55469
"12,07,23 18:04",30460.01,30460.01,30458.44,30458.45,9.79045
"12,07,23 17:49",30437.2,30440.88,30428.31,30436.83,20.39421
"12,07,23 17:34",30504.18,30508,30496.76,30496.77,14.50779
"12,07,23 17:19",30457.83,30459.91,30457.83,30459.9,8.59747
"12,07,23 17:04",30514.04,30514.65,30502.47,30514.65,45.25946
"12,07,23 16:49",30484.08,30484.79,30468.86,30484.79,21.79629
"12,07,23 16:34",30497.5,30520,30497.5,30514.01,20.25146
"12,07,23 16:19",30521.8,30532.71,30520,30527.85,53.36708
"12,07,23 16:04",30497.99,30519.68,30497.99,30504.96,45.01751
"12,07,23 15:49",30557.95,30557.95,30542.41,30548,44.43337
"12,07,23 15:34",30670.92,30670.92,30645.14,30654.99,30.73801
"12,07,23 15:19",30722,30728.92,30705.34,30707.49,21.64286
"12,07,23 15:04",30720,30732,30719.99,30731.99,19.88477
"12,07,23 14:49",30783.12,30783.12,30781.54,30781.55,20.39513
"12,07,23 14:34",30772.65,30782.87,30772.65,30778.01,18.16089
"12,07,23 14:19",30744.06,30767.07,30744.06,30760.01,20.10705
"12,07,23 14:04",30744.01,30773.93,30730,30772.61,66.09431
"12,07,23 13:49",30614.58,30623.01,30585.48,30586,50.20267
"12,07,23 13:34",30658,30687.97,30649.3,30681.14,31.75395
"12,07,23 13:19",30836,30857.29,30836,30846.29,44.61144
"12,07,23 13:04",30752.22,30770.65,30752.22,30761.54,51.25773
"12,07,23 12:49",30795.98,30795.99,30775.86,30778.01,23.62128
"12,07,23 12:34",30838.34,30849.92,30690.9,30774.9,489.80326
